Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
999999	136133	668266	27939	Greek	Χριστοῦ	Χριστοῦ	Christou	N-GMS	Noun - Genitive Masculine Singular		5547							 Christ 				
999999	136134	668267	27939	Greek	περὶ	περὶ	peri	Prep	Preposition		4012							 for 				
999999	136135	668268	27939	Greek	πάντων	πάντων	pantōn	Adj-GMP	Adjective - Genitive Masculine Plural		3956							 all 				
999999	136136	668269	27939	Greek	ὑμῶν	ὑμῶν	hymōn	PPro-G2P	Personal / Possessive Pronoun - Genitive 2nd Person Plural		4771							 of you 	,			
999999	136137	668270	27939	Greek	ὅτι	ὅτι	hoti	Conj	Conjunction		3754							 because 				
999999	136140	668271	27939	Greek	ὑμῶν	ὑμῶν	hymōn	PPro-G2P	Personal / Possessive Pronoun - Genitive 2nd Person Plural		4771							 your 				
999999	136138	668272	27939	Greek	ἡ	ἡ	hē	Art-NFS	Article - Nominative Feminine Singular		3588							 - 				
999999	136139	668273	27939	Greek	πίστις	πίστις	pistis	N-NFS	Noun - Nominative Feminine Singular		4102							 faith 				
999999	136141	668274	27939	Greek	καταγγέλλεται	καταγγέλλεται	katangelletai	V-PIM/P-3S	Verb - Present Indicative Middle or Passive - 3rd Person Singular		2605							 is being proclaimed 				
999999	136143	668275	27939	Greek	ὅλῳ	ὅλῳ	holō	Adj-DMS	Adjective - Dative Masculine Singular		3650							 all 				
999999	136142	668276	27939	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 over 				
999999	136144	668277	27939	Greek	τῷ	τῷ	tō	Art-DMS	Article - Dative Masculine Singular		3588							 the 				
999999	136145	668278	27939	Greek	κόσμῳ	κόσμῳ	kosmō	N-DMS	Noun - Dative Masculine Singular		2889							 world 	.			
999999	136146	668279	27939	Greek																		
999999	136147	668280	27939	Greek																		
999999	136148	668281	27939	Greek																		
999999	136149	668282	27939	Greek																		
999999	136150	668283	27939	Greek																		
999999	136151	668284	27939	Greek																		
999999	136152	668285	27939	Greek																		
999999	136153	668286	27939	Greek																		
999999	136154	668287	27939	Greek																		
999999	136155	668288	27939	Greek																		
999999	136158	668289	27940	Greek	γάρ	γάρ	gar	Conj	Conjunction		1063	Romans 1:9						 - 				
999999	136161	668290	27940	Greek	ὁ	ὁ	ho	Art-NMS	Article - Nominative Masculine Singular		3588							 - 				
999999	136162	668291	27940	Greek	Θεός	Θεός	Theos	N-NMS	Noun - Nominative Masculine Singular		2316							 God 	,			
999999	136163	668292	27940	Greek	ᾧ	ᾧ	hō	RelPro-DMS	Personal / Relative Pronoun - Dative Masculine Singular		3739							 whom 				
999999	136164	668293	27940	Greek	λατρεύω	λατρεύω	latreuō	V-PIA-1S	Verb - Present Indicative Active - 1st Person Singular		3000							 I serve 				
999999	136165	668294	27940	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 with 				
999999	136168	668295	27940	Greek	μου	μου	mou	PPro-G1S	Personal / Possessive Pronoun - Genitive 1st Person Singular		1473							 my 				
999999	136166	668296	27940	Greek	τῷ	τῷ	tō	Art-DNS	Article - Dative Neuter Singular		3588							 - 				
999999	136167	668297	27940	Greek	πνεύματί	πνεύματί	pneumati	N-DNS	Noun - Dative Neuter Singular		4151							 spirit 			Or <i>in my spirit</i>	
999999	136169	668298	27940	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 in {preaching} 				
999999	136170	668299	27940	Greek	τῷ	τῷ	tō	Art-DNS	Article - Dative Neuter Singular		3588							 the 				
999999	136171	668300	27940	Greek	εὐαγγελίῳ	εὐαγγελίῳ	euangeliō	N-DNS	Noun - Dative Neuter Singular		2098							 gospel 				
999999	136172	668301	27940	Greek	τοῦ	τοῦ	tou	Art-GMS	Article - Genitive Masculine Singular		3588							 of 				
999999	136174	668302	27940	Greek	αὐτοῦ	αὐτοῦ	autou	PPro-GM3S	Personal / Possessive Pronoun - Genitive Masculine 3rd Person Singular		846							 His 				
999999	136173	668303	27940	Greek	Υἱοῦ	Υἱοῦ	Huiou	N-GMS	Noun - Genitive Masculine Singular		5207							 Son 	,			
